Név;Hajó azonosítója;Hajó típusa;Személyek száma;Elvitel órája;Elvitel perce;Visszahozatal órája;Visszahozatal perce
Horváth Péter;8;kajak;1;15;20;16;20
Smith, Laura;9;kenu;2;16;35;17;35
Balogh Gábor;10;kajak;3;6;50;7;50
Kovács Dóra;11;kenu;4;8;5;9;5
Johnson, Mark;12;kajak;1;9;20;10;20
Nagy Tamás;13;kenu;2;10;35;11;35
Horváth István;14;kajak;3;11;50;12;50
Rodriguez, Rita;15;kenu;4;13;5;14;5
Varga Péter;16;kajak;1;14;20;15;20
Smith, Matthew;17;kenu;2;15;35;16;35
Németh Ádám;18;kajak;3;16;50;17;50
Kiss Zsófia;19;kenu;4;18;5;19;5
Balogh István;21;kenu;2;6;35;7;35
Kovács Judit;22;kajak;3;7;50;8;50
Rodriguez, Miguel;23;kenu;4;9;5;10;5
Tóth Kristóf;24;kajak;1;10;20;11;20
Smith, Daniel;25;kenu;2;11;35;12;35
Kovács Laura;1;kajak;3;12;50;13;50
Johnson, Thomas;2;kenu;4;14;50;13;50
Kiss Gergely;8;kajak;4;8;35;9;35
Horváth Tamás;9;kajak;1;9;50;10;50
Johnson, Henry;10;kenu;2;11;5;12;5
Varga Kata;11;kajak;3;12;20;13;20
Németh Balázs;12;kenu;4;13;35;14;35
Rodriguez, Paulo;13;kajak;1;14;50;15;50
Tóth András;14;kenu;2;16;5;17;5
Smith, Charles;15;kajak;3;17;20;18;20
Farkas József;16;kenu;4;18;35;19;35
Kovács Klára;17;kajak;1;6;50;7;50
Johnson, Samuel;18;kenu;2;8;5;9;5
Lakatos Károly;19;kajak;3;9;20;10;20
Nagy Tamás;20;kenu;4;10;35;11;35
Horváth László;21;kajak;1;11;50;12;50
Rodriguez, Miguel;22;kenu;2;13;5;14;5
Varga Kata;23;kajak;3;14;20;15;20
Németh Ádám;24;kenu;4;15;35;16;35
Kiss Zsófia;25;kajak;1;16;50;17;50
Johnson, Emma;1;kajak;3;18;5;19;5
Balogh István;2;kenu;1;19;20;20;20
Kovács Judit;3;kenu;4;6;35;7;35
Rodriguez, Miguel;4;kajak;2;7;50;8;50
Tóth Kristóf;5;kenu;3;9;5;10;5
Smith, Daniel;6;kajak;4;10;20;11;20
Kovács Laura;7;kenu;1;11;35;12;35
Johnson, Thomas;8;kajak;4;12;50;13;50
Varga Péter;9;kenu;2;14;5;15;5
Németh Anna;10;kajak;3;15;20;16;20
Rodriguez, Sofia;11;kenu;4;16;35;17;35
Tóth Máté;12;kajak;1;17;50;18;50
Smith, Andrew;13;kenu;2;6;5;7;5
Johnson, Emma;20;kajak;3;19;20;20;20
Balogh István;21;kenu;4;6;35;7;35
